Country,Population,% of World,Date
China,1409670000,17.3%,31 Dec 2023
India,1404910000,17.3%,1 Jul 2024
United States,335893238,4.1%,1 Jan 2024
Indonesia,282477584,3.5%,31 Jun 2024
Pakistan,241499431,3.0%,1 Mar 2023
Nigeria,223800000,2.7%,1 Jul 2023
Brazil,203080756,2.5%,1 Aug 2022
Bangladesh,169828911,2.1%,14 Jun 2022
Russia,146150789,1.8%,1 Jan 2024
Mexico,129940228,1.6%,30 Jun 2024
Japan,123790000,1.5%,1 Nov 2024
Philippines,114163719,1.4%,1 Jul 2024
Ethiopia,109499000,1.3%,1 Jul 2024
Egypt,105914499,1.3%,1 Jan 2024
Democratic Republic of the Congo,105247000,1.3%,1 Jul 2021
Vietnam,100300000,1.2%,Jul 2023
Iran,85961000,1.1%,1 Oct 2024
Turkey,85372377,1.0%,31 Dec 2023
Germany,84708010,1.0%,30 Jun 2024
France,68534000,0.8%,1 Oct 2024
United Kingdom,68265209,0.8%,1 Jul 2023
Thailand,65969270,0.8%,1 Sep 2024
South Africa,63015904,0.8%,30 Jul 2024
Tanzania,61741120,0.8%,23 Aug 2022
Italy,58968499,0.7%,31 Aug 2024
Myanmar,56712559,0.7%,1 Jul 2024
Colombia,52695952,0.6%,1 Jan 2024
Kenya,52428290,0.6%,1 Jan 2024
South Korea,51248233,0.6%,30 Sep 2024
Sudan,50448963,0.6%,1 Jul 2024
Spain,48946035,0.6%,1 Oct 2024
Argentina,47067441,0.6%,1 Jul 2024
Algeria,46700000,0.6%,1 Jan 2024
Uganda,45935046,0.6%,10 May 2024
Iraq,44414800,0.5%,1 Jul 2024
Canada,41288599,0.5%,1 Jul 2024
Poland,37543000,0.5%,31 Aug 2024
Morocco,37369652,0.5%,1 Jul 2024
Uzbekistan,37355356,0.5%,1 Oct 2024
Angola,35121734,0.4%,1 Jun 2024
Afghanistan,34262840,0.4%,1 Jan 2023
Malaysia,34112400,0.4%,30 Sep 2024
Peru,34038457,0.4%,1 Jul 2024
Ukraine,33443000,0.4%,1 Jan 2024
Mozambique,33244414,0.4%,1 Jul 2024
Ghana,33007618,0.4%,1 Jul 2024
Yemen,32305264,0.4%,1 Jul 2022
Saudi Arabia,32175224,0.4%,10 May 2022
Madagascar,30811969,0.4%,1 Jul 2024
Ivory Coast,29389150,0.4%,14 Dec 2021
Nepal,29164578,0.4%,25 Nov 2021
Cameroon,28758503,0.4%,1 Jul 2024
Venezuela,28405543,0.3%,1 Jul 2024
Australia,27122411,0.3%,31 Mar 2024
Niger,26312034,0.3%,1 Jul 2024
North Korea,25950000,0.3%,1 Jul 2021
Syria,24672760,0.3%,1 Jul 2024
Burkina Faso,23409015,0.3%,1 Jul 2024
Taiwan,23402804,0.3%,31 Oct 2024
Mali,22395489,0.3%,15 Jun 2022
Sri Lanka,21916000,0.3%,1 Jul 2024
Malawi,20270568,0.2%,1 Jul 2024
Kazakhstan,20223218,0.2%,1 Oct 2024
Chile,20086377,0.2%,30 Jun 2024
Zambia,19610769,0.2%,14 Sep 2022
Romania,19064409,0.2%,1 Jan 2024
Somalia,19009151,0.2%,1 Jul 2024
Chad,18675547,0.2%,1 Jul 2024
Senegal,18126390,0.2%,15 May 2023
Netherlands,18028211,0.2%,30 Sep 2024
Guatemala,17843132,0.2%,1 Jul 2024
Cambodia,17336307,0.2%,1 Jul 2024
Ecuador,16938986,0.2%,1 Oct 2022
Zimbabwe,16751469,0.2%,1 Jul 2024
South Sudan,15254268,0.2%,1 Jul 2023
Rwanda,13798561,0.2%,1 Jul 2024
Guinea,13261638,0.2%,1 Jul 2022
Benin,12910087,0.2%,1 Jul 2024
Burundi,12837740,0.2%,1 Jul 2022
Haiti,12394537,0.2%,1 Jul 2024
Bolivia,12332252,0.2%,1 Jul 2024
Tunisia,11887412,0.1%,1 Jan 2024
Belgium,11861621,0.1%,1 Oct 2024
Papua New Guinea,11781559,0.1%,1 Jul 2021
Jordan,11516000,0.1%,31 Dec 2023
