name,price_old,price_discount,author,rating,url
Игорь Орлов: От фестиваля к фестивалю. Международный молодежный туризм в СССР в 1957–1985 годах,623,312,Орлов Игорь Борисович,0,https://www.labirint.ru/books/1019390/
Мэри Влад: Дьявольские сети. Части первая и вторая,1201,601,Влад Мэри,0,https://www.labirint.ru/books/1018102/
Иван Любенко: Клим Ардашев. Начало. Двойник с того света,847,424,Любенко Иван Иванович,0,https://www.labirint.ru/books/1019576/
"Полина Луговцова: Санаторий ""Седьмое небо""",847,424,Луговцова Полина,0,https://www.labirint.ru/books/1019585/
Игорь Цыкунов: Органическое земледелие в России. Как энтузиасты создавали рынок,1861,931,Цыкунов Игорь Викторович,0,https://www.labirint.ru/books/1019479/
Гарет Найт: Таро и магия. Образы для ритуалов и астральных путешествий,944,472,Найт Гарет,4,https://www.labirint.ru/books/403997/
Григорий Мебес: Медитация на Арканы Таро. Дополнения к энциклопедии оккультизма. Лекции 1921 года,1198,599,Мебес Григорий,4,https://www.labirint.ru/books/153196/
Ирина Пичугина: Шебекинский дневник,1016,508,Пичугина Ирина Николаевна,0,https://www.labirint.ru/books/1019588/
Евгений Журавли: Линия соприкосновения,847,424,Журавли Евгений Вячеславович,0,https://www.labirint.ru/books/1019583/
Михаил Назаров: Заброшенное метро,847,424,Назаров Михаил Николаевич,0,https://www.labirint.ru/books/1019582/
Артем Драбкин: Десантники в Афгане,1084,542,Драбкин Артем Владимирович,0,https://www.labirint.ru/books/1019581/
"Ленин, Симонов, Троцкий: Сталин. Воспоминания и оценки современников",1081,541,Ленин Владимир Ильич,0,https://www.labirint.ru/books/1019710/
Ольга Ушакова: Напиши диктант без ошибок! 1-4 классы,296,207,Ушакова Ольга Дмитриевна,0,https://www.labirint.ru/books/1019601/
Лев Толстой: Детство. Отрочество. Юность,2010,1508,Толстой Лев Николаевич,0,https://www.labirint.ru/books/879880/
"Джеймс Купер: Следопыт, или На берегах Онтарио",2560,1920,Купер Джеймс Фенимор,5,https://www.labirint.ru/books/868144/
Андрей Гордеев: История казачества. Военное служилое сословие в жизни Российского государства,2991,1496,Гордеев Андрей Андреевич,0,https://www.labirint.ru/books/1018534/
Эдгар Леони: Нострадамус и его пророчества. Полное жизнеописание великого предсказателя и астролога,2705,1353,Леони Эдгар,0,https://www.labirint.ru/books/1018529/
